user_id,generation_id,original_post_id,original_text,original_timestamp,stimulus,generated_text,generation_timestamp,persona_writing_style,persona_tone,persona_topics
2960098274.0,2960098274.0_gen_0,1.690850991e+18,We made this naughty fan boys dreams cum true ✨💦✨  @RichelleKnupps https://t.co/2pjRHCfhVL,2023-08-13 22:21:05+00:00,"A post about fulfilling a fan's fantasy or desire, possibly involving adult content or themes.","Oooh, you know what I love? 😏 Making dreams come true 😈✨ Who's ready to dive into their wildest fantasy? 😜🔥 Slide into my DMs, let's make magic happen! 😉💋 #FantasyFulfillment #DMMe #LetsPlay @yournamehere",2025-01-05T12:43:44.412911,"Informal and provocative writing style with short and fragmented sentences. Utilizes slang, emojis, and hashtags frequently, often promoting links and content through direct calls to action.","Playful and suggestive tone, often flirtatious with a focus on adult content. Mixes casual and promotional elements, maintaining an enticing and bold demeanor.","Adult entertainment, self-promotion, online interactions, sexual content, social media engagement, personal branding, erotic themes"
2374200834.0,2374200834.0_gen_0,1.691500297e+18,"Happy birthday, @kendylscott! 🎂🎉 https://t.co/kYeSYQ1kru",2023-08-15 17:21:12+00:00,A post celebrating someone's birthday with a festive message and a link.,🎉 Happy Birthday to the amazing @teammate_extraordinaire! 🎂🥳 Hope your day is filled with home runs and awesome memories! 🌟🎈 Can't wait to celebrate with you on and off the field! 💪⚾️ #BirthdayBash #SoftballStars #TeamFam,2025-01-05T12:43:46.726120,"The writing style is informal and dynamic, featuring short to medium-length sentences with frequent use of emojis and hashtags. The user employs a mix of casual language and sports jargon, often incorporating excitement and enthusiasm through exclamation points and informal expressions.","The overall tone is enthusiastic and supportive, with a blend of professionalism and casual friendliness. The user frequently expresses excitement and pride, especially in the context of sports achievements and personal connections.","Softball, Athletes Unlimited, Great Britain women's softball, sports broadcasting, personal achievements, team support, live sports events, voting and awards, professional sports highlights"
182047549.0,182047549.0_gen_0,1.691280447e+18,This is what I was talking about... @IvanCarter9 https://t.co/m7Ui2IH0yU,2023-08-15 02:47:35+00:00,"A post referencing a previous discussion and tagging another user, possibly related to a shared interest or topic.","Hey @sportsfanatic, remember when Julio was tearing it up in Tuscaloosa? Those were the days, Junior! His routes were poetry in motion 🏈. Always fun reminiscing about Bama's finest. What do you think about his current form in the NFL? #RollTide #JulioJones",2025-01-05T12:43:52.666507,"Informal and conversational writing style with short to medium-length sentences. Uses direct language and sports terminology, blending personal opinions with factual statements.","Casual and assertive tone, with a hint of authority and nostalgia when discussing sports figures. Balances between friendly banter and knowledgeable commentary.","Sports commentary, Alabama football, Julio Jones, player performance analysis, football fandom"
1.36931024370074e+18,1.36931024370074e+18_gen_0,1.69153547e+18,"Het rode kruis weigert de mensen te helpen op #Maui #RedCross☎️ heel veel mensen klagen erover, alles wat zichtbaar !! https://t.co/7pcjKPDbPj",2023-08-15 19:40:57+00:00,"A post expressing dissatisfaction with an organization's response to a crisis situation, mentioning public complaints and visibility issues.",So @TheOrgOfficial is failing us AGAIN?! 🤔 How many complaints do we need before they actually listen? Or are they just too busy hiding behind their PR stunts?!! Time to wake up people!! 🚨 #CrisisManagementFail #TransparencyMatters #WakeUpSheeple 🇳🇱🇬🇧,2025-01-05T12:43:55.431774,"The writing style is informal and provocative, using short to medium-length sentences. The user frequently employs rhetorical questions, exclamations, and hashtags to emphasize points and connect with trending topics. There is a mix of English and Dutch language, showcasing a bilingual ability.","The overall tone is conspiratorial and alarmist, often expressing skepticism and distrust towards authorities and mainstream narratives. There is a sense of urgency and indignation, with frequent use of emotional expressions such as outrage and disbelief.","Conspiracy theories, government distrust, media skepticism, climate change denial, vaccine skepticism, historical events, government policies, personal freedoms, global elites"
711630608.0,711630608.0_gen_0,1.658533556e+18,"Gracias por aparecer en nuestras vidas y tener ese algo especial con nuestro ídolo.  Feliz cumpleaños, Scaloni. https://t.co/lXBvtfbUh2",2023-05-16 18:03:08+00:00,"A post expressing gratitude and well wishes for someone's birthday, likely a public figure admired by the community.","{""post_text"": ""Happy Birthday to the GOAT, @LionelMessi! 🎉🎂 Gracias por darnos momentos inolvidables en el campo y recordarnos que el fútbol es más que un juego. \""The only way to prove that you’re a good sport is to lose.\"" - Ernie Banks. You've taught us to win with grace and lose with dignity. 🐐⚽ May your day be as legendary as your career. #FelizCumpleMessi",2025-01-05T12:43:57.172473,"The writing style is a mix of casual and reflective, often switching between short and medium-length sentences. It employs a blend of colloquial language and philosophical quotes, showcasing a balance between informal expressions and thoughtful insights.","The tone varies from passionate and emotional when discussing sports and personal interests, to analytical and contemplative when reflecting on broader topics. There is a mix of humor and seriousness, with a tendency towards a personal and heartfelt approach.","Sports, particularly football and admiration for Lionel Messi, personal reflections, philosophical musings, societal observations, investment advice, digital trends, humor, daily life anecdotes"
32194111.0,32194111.0_gen_0,1.681024218e+18,"Jayesh, thank you for my new cookbook. https://t.co/Kq7N3pZF0Y",2023-07-17 19:33:00+00:00,"A post expressing gratitude for receiving a new cookbook, accompanied by a link.",OMG! Just got my hands on this amazing new cookbook 📚😍 Huge thanks to the lovely @chefmaster for sending it my way! Can't wait to whip up some deliciousness in the kitchen 🍳✨ Anyone else obsessed with trying out new recipes? #CookingAdventures #FoodieFun #Grateful,2025-01-05T12:43:59.566837,"Casual and conversational writing style with a mix of short and medium-length sentences. The user employs informal language, punctuated with emoticons and expressive punctuation. Uses hashtags and abbreviations, and includes direct addresses to individuals.","Overall tone is friendly and appreciative, often expressing gratitude and excitement. There are casual and humorous elements, with occasional frustration or annoyance, particularly in dealing with impersonators.","Fan interactions, personal interests like cooking and gardening, pet anecdotes, professional content updates related to videos and photos, issues with fake accounts, health and wellness, birthday celebrations"
15628274.0,15628274.0_gen_0,1.650886347e+18,What's this amazing new treatment called #EBOO? Watch this! https://t.co/XdJqXkhuNg,2023-04-25 15:35:51+00:00,A post about a new medical treatment and a linked video related to it.,"Another 'breakthrough' treatment, huh? 🤔 How many times have we heard this before? Let's dig deeper into who's profiting this time! Have you noticed the trend of pushing new meds without proper long-term studies? 🤷‍♂️ #CriticalThinkersUnite #OzoneTherapy #BigPharma @HealthWatchdog #StayInformed",2025-01-05T12:44:01.362895,"The user exhibits a direct and assertive writing style with a mix of short and medium-length sentences. They often use hashtags and mentions, indicating a familiarity with social media conventions. The vocabulary includes technical terms related to medicine and politics, often paired with colloquial expressions.","The tone is predominantly critical and confrontational, especially towards political figures and medical practices. There is a mix of urgency and advocacy, particularly in posts about health and governance.","Ozone therapy, political criticism, vaccine skepticism, public health policies, personal empowerment, social media engagement, advocacy for alternative medicine"
2227696129.0,2227696129.0_gen_0,1.262383116e+18,Re-imagine Summer Library &amp; Rediscover a Love of Reading.  Click the link below to learn how your child can practice reading skills through a variety of at-home activities this summer. https://t.co/RxG1J4a7uv,2020-05-18 14:02:43+00:00,A post promoting a program or initiative encouraging children's reading through at-home activities during the summer.,📚✨ Summer is the perfect time to dive into some amazing reads right at home! 🏡🌞 Join our summer reading adventure and keep those imaginations soaring! 🚀🎉 We've got a fun list of at-home activities that'll make reading the highlight of every day! 🏆📖 Check it out and let us know your favorite book so far! 📚❤️ #SummerReadingFun #BookAdventures #ReadAtHome @YourSchoolLibrary,2025-01-05T12:44:03.212555,"Informal and engaging writing style with a mix of short and medium-length sentences. Utilizes direct language and frequently incorporates hashtags and links. Emphasizes clarity and accessibility, especially when discussing educational topics.","Friendly and enthusiastic tone with a strong emphasis on inclusivity and community engagement. Balances professionalism with a warm, welcoming approach, especially in communications involving students and families.","Library activities, reading programs, educational events, student engagement, community involvement, digital literacy, school celebrations, author visits, educational resources"
38423170.0,38423170.0_gen_0,1.691281032e+18,Speed he'd love to carry to @WGI.  @chaseelliott had the #FastestLap at @IMS on Sunday. https://t.co/As1kbTBr1F,2023-08-15 02:49:55+00:00,"A post about a notable performance in a motorsport event, highlighting a specific achievement by a participant.","What an incredible performance by @DriverX at the #NASCAR event this weekend! 🏁 That last lap was pure magic, securing a spot on the podium! 🚗💨 Huge congrats on this well-deserved achievement! 👏 Who else was on the edge of their seat? #RacingExcellence #PodiumFinish #MotorsportMagic",2025-01-05T12:44:05.871595,"The writing style is concise and focused, with short to medium-length sentences. It utilizes hashtags and mentions to emphasize key points, often incorporating technical jargon related to NASCAR and racing.","The tone is enthusiastic and energetic, with a balance of professional and casual elements. It conveys excitement about racing events and achievements while maintaining a friendly and engaging demeanor.","NASCAR races, driver performances, race standings, track events, racing achievements, weather conditions during races, birthday shoutouts"
49838959.0,49838959.0_gen_0,1.677192819e+18,The rapist that Jesse Watters said didn't exist was just sentenced to life in prison  https://t.co/zdqT3Sg3ys,2023-07-07 05:48:23+00:00,A post discussing a recent legal outcome related to a criminal case and a previous statement made by a public figure.,"So, a big shot gets a slap on the wrist while the rest of us would be buried under the jail? 🙄 The system's a joke! And didn't @PublicFigure say this would NEVER happen? Hypocrisy alert! 🚨 #JusticeForAll or just the elite? 🤔 #LegalDrama #DoubleStandards",2025-01-05T12:44:08.126543,"The writing style is informal and direct, characterized by short, punchy sentences. It often employs sensationalist language and hyperbolic expressions to emphasize points, with frequent use of rhetorical questions and exclamatory phrases.","The tone is predominantly critical and confrontational, with a strong emphasis on skepticism and scrutiny. It frequently displays sarcasm and a sense of urgency, combining a mix of casual and serious elements to engage the audience.","Political controversies, GOP and Trump-related issues, LGBTQ+ rights, book bans, immigration laws, legal proceedings, media criticism, societal and cultural debates"
